Site,sampled,Site_ID,Field_Type,p100m_1,p100m_2,p100m_3,p100m_4,p100m_5,p100m_6,p100m_7,p250m_1,p250m_2,p250m_3,p250m_4,p250m_5,p250m_6,p250m_7,p500m_1,p500m_2,p500m_3,p500m_4,p500m_5,p500m_6,p500m_7,p1km_1,p1km_2,p1km_3,p1km_4,p1km_5,p1km_6,p1km_7,p1.5km_1,p1.5km_2,p1.5km_3,p1.5km_4,p1.5km_5,p1.5km_6,p1.5km_7,p2km_1,p2km_2,p2km_3,p2km_4,p2km_5,p2km_6,p2km_7,p2.5km_1,p2.5km_2,p2.5km_3,p2.5km_4,p2.5km_5,p2.5km_6,p2.5km_7,p3km_1,p3km_2,p3km_3,p3km_4,p3km_5,p3km_6,p3km_7,p3.5km_1,p3.5km_2,p3.5km_3,p3.5km_4,p3.5km_5,p3.5km_6,p3.5km_7,p4km_1,p4km_2,p4km_3,p4km_4,p4km_5,p4km_6,p4km_7
Loblolly Woods (S of 8th),N,NA,Natural,0,0.028481013,0.971518987,0,0,0,0,0,0.060559796,0.837659033,0.093129771,0.008651399,0,0,0,0.154375239,0.440198701,0.122659534,0.282766527,0,0,0,0.275384468,0.219154965,0.047569013,0.457413952,0,0.000477601,0,0.243241713,0.165836329,0.077490305,0.499249866,0.003042998,0.011138789,0,0.295267973,0.158856924,0.045457079,0.485002906,0.008471945,0.006943173,0,0.323730412,0.156269588,0.029466174,0.465119123,0.006253026,0.019161677,0,0.343942214,0.162339593,0.021283824,0.440147649,0.005754489,0.02653223,0.000949063,0.360230375,0.153430926,0.017517356,0.436956239,0.007293481,0.023622559,0.001610489,0.371676501,0.147782741,0.020386915,0.424906237,0.010274082,0.023363035
John Mahon Nature Park,Y,JM,Natural,0,0,0.98392283,0,0.01607717,0,0,0,0.383554648,0.286006129,0,0.330439224,0,0,0,0.373343527,0.133537207,0,0.452471967,0.000382263,0.040265036,0,0.276220212,0.188479674,0.001497388,0.429973238,0.006371862,0.097457627,0,0.229729156,0.273095383,0.003907633,0.415228441,0.004771276,0.073268112,0,0.240139516,0.240290818,0.028150059,0.426439555,0.005829093,0.059150959,0,0.278795631,0.211635978,0.033116059,0.418333597,0.006161483,0.051957252,0.001291802,0.29856203,0.222320926,0.025276853,0.385756908,0.010518455,0.056273027,0.00145873,0.319443758,0.221323986,0.021935561,0.377127315,0.009090413,0.049620236,0.003945763,0.324796789,0.217040837,0.017290085,0.387180452,0.009308974,0.0404371
Natural Area Teaching Lab ,N,NA,Manicured,0,0.550314465,0.238993711,0,0,0,0.210691824,0,0.577958354,0.347384459,0,0,0,0.074657186,0,0.715467855,0.250541057,0,0.00649268,0.003309994,0.024188415,0.004617099,0.675593058,0.098328292,0,0.213692087,0.001178156,0.006591307,0.002760319,0.528693166,0.164331012,0.02955665,0.216140083,0.022988506,0.035530264,0.016117344,0.455354797,0.184672597,0.049458906,0.241489421,0.024367131,0.028539804,0.020975172,0.443882751,0.176138448,0.03488218,0.267066533,0.032853969,0.024200946,0.015457952,0.420156915,0.204973582,0.025508453,0.271335195,0.031889105,0.030678798,0.011768254,0.386020063,0.222959797,0.022176633,0.29208464,0.023957732,0.041032881,0.011255572,0.350149006,0.254914608,0.01735516,0.296114698,0.019720144,0.050490814
Natural Area Teaching Lab ,N,NA,Natural,0,0.253968254,0.746031746,0,0,0,0,0,0.477794793,0.460438999,0,0,0,0.061766207,0,0.678471338,0.251464968,0,0.043312102,0.003312102,0.02343949,0.004618717,0.654392559,0.103140728,0,0.227527553,0.003726827,0.006593617,0.002420622,0.528644027,0.159350537,0.027702674,0.226830684,0.021275993,0.033775463,0.01596452,0.443184623,0.189034246,0.05005932,0.250105501,0.022541424,0.029110366,0.02117478,0.441322162,0.180732224,0.034883602,0.265044031,0.031637312,0.025205887,0.015458171,0.416871631,0.20943911,0.02487534,0.269205044,0.031723225,0.032427478,0.011768285,0.382911285,0.230706227,0.022067484,0.284966185,0.023965595,0.043614938,0.012599488,0.345501491,0.262994653,0.017359383,0.29012068,0.019521343,0.051902963
Harmonic Woods,Y,HW,Natural,0,0.400641026,0.599358974,0,0,0,0,0,0.66700611,0.289714868,0,0,0.043279022,0,0,0.618010445,0.192332187,0,0.03197045,0.081008789,0.07667813,0,0.603153871,0.13067856,0.069958586,0.120420516,0.038005734,0.037782733,0,0.628979967,0.083315637,0.06226375,0.188192822,0.017611666,0.019636158,0,0.58170351,0.154384596,0.035715423,0.201654775,0.011849398,0.014692298,0.006590013,0.485846508,0.159607759,0.027960409,0.280174918,0.024056349,0.015764044,0.011806969,0.438772585,0.144175264,0.020917022,0.340862517,0.028632607,0.014833035,0.011269437,0.408726403,0.14477872,0.021698996,0.36924177,0.026236414,0.01804826,0.008831428,0.401475621,0.149144829,0.017356265,0.378801785,0.021975047,0.022415025
University Gardens,Y,UG,Manicured,0,0.433544304,0.566455696,0,0,0,0,0,0.456399796,0.405915349,0,0,0.089750127,0.047934727,0,0.559250765,0.228083588,0,0.006625892,0.097859327,0.108180428,0,0.641999682,0.132940615,0.058079924,0.091609616,0.037987582,0.037382582,0,0.650545624,0.081496893,0.062191273,0.169150638,0.018017635,0.018597936,0,0.587252544,0.152908949,0.035022058,0.195296947,0.013919636,0.015599866,0.008174831,0.484114121,0.160550833,0.028132836,0.2746621,0.029116466,0.015248813,0.012539285,0.441451485,0.143244429,0.021252725,0.336610606,0.029753815,0.015147654,0.011356959,0.409172928,0.148168274,0.021697304,0.364688906,0.027092379,0.01782325,0.009011861,0.402474031,0.154173087,0.017354849,0.371980619,0.021883672,0.023121882
Forest Park,N,NA,Natural,0,0,0.683544304,0.158227848,0,0,0.158227848,0,0.052631579,0.442003066,0.250894226,0.146142054,0.001532959,0.106796117,0,0.146133265,0.323353293,0.080774621,0.396228819,0.001656262,0.051853739,0,0.189425068,0.364357382,0.020194298,0.288835802,0.008982322,0.128205128,0.000495407,0.163201178,0.406276097,0.024048465,0.234072669,0.007048932,0.164857252,0.002715271,0.209983597,0.403771121,0.019484656,0.242065198,0.00521555,0.116764608,0.002792912,0.266407082,0.367522718,0.017848133,0.2390182,0.008409314,0.098001641,0.003532068,0.294456989,0.321000587,0.025057157,0.26227199,0.013774358,0.07990685,0.003406163,0.309739806,0.279970983,0.026445864,0.303457905,0.013736457,0.063242823,0.00833111,0.316540389,0.26166455,0.023792935,0.325331353,0.01207165,0.052268013
Forest Park ,N,NA,Manicured,0,0,0.176656151,0.627760252,0,0,0.195583596,0,0.063991874,0.36262062,0.311325546,0.148298629,0.005586592,0.108176739,0,0.149350649,0.287751464,0.080723198,0.433027757,0.001655208,0.047491724,0,0.18772885,0.381953068,0.020186583,0.283917598,0.010761932,0.115451969,0.00202412,0.168157627,0.400803986,0.025563356,0.240374816,0.007049032,0.156027064,0.002715163,0.221074759,0.39361897,0.01948388,0.242469604,0.005589573,0.115048053,0.002175996,0.273329528,0.360985976,0.020429899,0.239288189,0.007623629,0.096166782,0.003532056,0.295206243,0.318355718,0.025180938,0.264536108,0.013714144,0.079474793,0.003361996,0.311898552,0.280447122,0.026386336,0.300330479,0.013791203,0.063784312,0.009017689,0.318583208,0.26241475,0.023828198,0.321692618,0.012264455,0.052199082
Depot Park,N,NA,Manicured,0,0.171974522,0.719745223,0,0,0.108280255,0,0,0.44054878,0.366361789,0,0,0.193089431,0,0,0.753436864,0.180244399,0,0.014638493,0.049389002,0.002291242,0,0.61093954,0.129071285,0.004680187,0.20923939,0.041675953,0.004393645,0,0.543111136,0.11886528,0.011140523,0.29244228,0.019237575,0.015203205,0.002070196,0.488828906,0.136075546,0.023687815,0.313188738,0.014722275,0.021426524,0.010955749,0.463830741,0.163729847,0.02733332,0.302154461,0.010751921,0.021243962,0.00898175,0.438711413,0.178764425,0.028558992,0.280426651,0.020553981,0.044002789,0.01173231,0.406616066,0.18520252,0.02251293,0.277630864,0.023550428,0.072754883,0.016403233,0.386815703,0.194708763,0.018983159,0.269472867,0.021270454,0.092345822
Thomas Center Gardens,N,NA,Manicured,0,0.882165605,0,0,0.117834395,0,0,0,0.745537991,0,0,0.254462009,0,0,0,0.670021659,0,0,0.32806727,0.001911071,0,0,0.631577271,0.009587209,0.017454453,0.3409033,0.000477768,0,0,0.599351624,0.015204281,0.019366347,0.362113876,0.001500609,0.002463263,0,0.580596872,0.024333535,0.019126031,0.36526579,0.003877759,0.006800013,0,0.560539191,0.053358475,0.012241362,0.356533483,0.007048211,0.010279278,0.000629984,0.533709436,0.071106754,0.010798203,0.352012232,0.009945248,0.021798143,0.005320131,0.485796082,0.115607538,0.016602657,0.341328265,0.010286627,0.025058701,0.005534376,0.437378936,0.178927565,0.01701522,0.316383146,0.010674577,0.034086181
Wilmot Gardens,N,NA,Manicured,0,1,0,0,0,0,0,0,0.936670072,0.042390194,0,0,0.020939734,0,0,0.8367737,0.118501529,0,0,0.033511723,0.011213048,0,0.811204178,0.099843944,0,0.048058855,0.009872926,0.031020096,0,0.711968522,0.117915983,0,0.098808243,0.050925664,0.020381589,0.017030662,0.593119262,0.094659904,0.015621392,0.207130744,0.059380399,0.013057637,0.017810006,0.515272271,0.110050041,0.023288048,0.273091858,0.047926497,0.012561278,0.01545757,0.468260316,0.148782646,0.017088966,0.300845778,0.035469602,0.014095124,0.011770763,0.42656079,0.164312254,0.019976755,0.313140768,0.026703276,0.037535394,0.009012345,0.392768623,0.172136386,0.021920683,0.323528651,0.021289599,0.059343713
Westside Park,N,NA,Manicured,0,0.115015974,0.169329073,0.715654952,0,0,0,0,0.168539326,0.384065373,0.372829418,0.074565884,0,0,0,0.236470139,0.351585381,0.137781739,0.27416274,0,0,0,0.252214645,0.206169142,0.041648079,0.498884711,0,0.001083424,0,0.241990515,0.166772846,0.060338359,0.517632902,0.002123593,0.011141785,0,0.278717898,0.151519013,0.045462871,0.514473422,0.002970336,0.00685646,0,0.303375196,0.159019552,0.030209586,0.483842688,0.006274338,0.01727864,0.000506119,0.321661912,0.164920614,0.021518925,0.456402942,0.007000729,0.027988759,0.00094907,0.348220299,0.15569169,0.017741109,0.446770172,0.007257136,0.023370525,0.000806277,0.368135948,0.14606746,0.020047421,0.43192935,0.008835199,0.024178344
Grove Park Wildlife Management Area,N,NA,Natural,0,0,1,0,0,0,0,0,0,0.882473173,0,0,0,0.117526827,0,0,0.931464968,0,0,0,0.068535032,0,0,0.801516503,0,0,0,0.198483497,0,0.004671111,0.775998981,0,0,0,0.219329908,0,0.008208795,0.80131691,0,0,0,0.190474295,0.001223179,0.008720249,0.802634932,0,0,0,0.18742164,0.005864428,0.007662334,0.784017753,0,0.00043178,2.12E-05,0.20200247,0.007267328,0.006695303,0.759746541,0,0.00043422,0.01482067,0.211035939,0.0157712,0.007736289,0.737491738,0.000213017,0.004047318,0.039155259,0.195585179
Morning Side Nature Center ,Y,MSM,Manicured,0,0.284810127,0.705696203,0.009493671,0,0,0,0,0.07505071,0.767241379,0.001521298,0,0,0.156186613,0,0.092552514,0.705665181,0.00101846,0.069127944,0,0.131635901,0,0.115027061,0.68771092,0.001400828,0.125342248,0.001782872,0.068736071,0.016590227,0.14643848,0.621029387,0.017071514,0.105557443,0.006780477,0.086532473,0.026888227,0.170772489,0.580234725,0.014666306,0.115881332,0.004888769,0.086668153,0.038233406,0.194168425,0.546279594,0.00938637,0.138660429,0.007536613,0.065735164,0.044675814,0.207223722,0.517954907,0.009735675,0.147096815,0.007127463,0.066185604,0.043224226,0.209875291,0.483769138,0.01874532,0.157602138,0.00731975,0.079464137,0.034923649,0.228239903,0.435886717,0.017205033,0.167047873,0.024052807,0.092644017
Morning Side Nature Center ,Y,MSN,Natural,0,0,0.630914826,0,0,0,0.369085174,0,0.000510725,0.736976507,0.005107252,0,0,0.257405516,0,0.027144132,0.754301007,0.005607238,0.025105136,0,0.187842488,0,0.103028759,0.725277875,0.001401319,0.113697888,0.00050957,0.056084589,0.015456038,0.126606465,0.676244126,0.011308951,0.085107286,0.001840005,0.083437128,0.038245622,0.159535924,0.602931925,0.012342435,0.096908021,0.005972146,0.084063926,0.045935946,0.193753568,0.555777542,0.009423673,0.115448911,0.007619465,0.072040895,0.048199295,0.206981979,0.515150979,0.015639378,0.134656493,0.006253628,0.073118249,0.041649983,0.228756403,0.465489717,0.020834092,0.15073711,0.007059099,0.085473597,0.035155122,0.241393863,0.424606595,0.017549692,0.162816391,0.026559436,0.0919189
Cofrin Nature Park,N,NA,Manicured,0,0.402555911,0.562300319,0,0,0,0.03514377,0,0.482934284,0.228222109,0,0.139072848,0,0.149770759,0,0.378712556,0.110133843,0,0.430592734,0,0.080560867,0,0.306106846,0.115861234,0.001497244,0.540282247,0.002516645,0.033735784,0,0.269699673,0.154029141,0.002874418,0.500955779,0.007915268,0.064525721,0.001752178,0.319342455,0.149070549,0.003058348,0.470635085,0.007040571,0.049100814,0.001121173,0.311737156,0.17671221,0.007506765,0.455130133,0.009540166,0.038252397,0.003564324,0.286413093,0.207017507,0.016221746,0.436295227,0.008480755,0.042007348,0.008784248,0.284913354,0.216722316,0.018348624,0.420070628,0.008149743,0.043011088,0.008771773,0.284252418,0.218239155,0.017410157,0.419643515,0.01066509,0.041017892
Cofrin Nature Park,N,NA,Natural,0,0.092948718,0.333333333,0,0,0,0.573717949,0,0.299337073,0.27281999,0,0.162162162,0,0.265680775,0,0.368192833,0.104323428,0,0.443820941,0.003060834,0.080601964,0,0.311169874,0.082866063,0.001497388,0.568210781,0.003663821,0.032592073,0,0.269522124,0.147426549,0.004658407,0.519164602,0.005946903,0.053281416,0.00175215,0.316964001,0.138857917,0.003058299,0.48202453,0.008051927,0.049291176,0.001202799,0.307733081,0.177468923,0.007542977,0.46023373,0.009770194,0.036048295,0.003719906,0.282942938,0.205897343,0.016079481,0.444466861,0.008292807,0.038600664,0.008690587,0.283887308,0.213143018,0.01917546,0.42506384,0.008204309,0.041835477,0.008705797,0.283411207,0.214612918,0.016911901,0.423910382,0.010927537,0.041520259
Alfred A. Ring Park ,N,NA,Natural,0,0,0.914285714,0,0.085714286,0,0,0,0.081039755,0.438328236,0,0.480632008,0,0,0,0.159007002,0.205219605,0,0.635773393,0,0,0,0.313214638,0.105615186,0,0.577380004,0.00359907,0.000191101,0,0.297508846,0.101415428,0.004784147,0.588591649,0.003864119,0.00383581,0,0.311033434,0.10417944,0.008973573,0.565072338,0.00409265,0.006648566,0,0.362240478,0.100832713,0.006237706,0.519477541,0.003246257,0.007965305,0,0.401080079,0.10797602,0.011483799,0.465569837,0.005064196,0.008826069,0,0.407394118,0.106603433,0.016294725,0.443327275,0.008499674,0.017880776,0,0.406521981,0.116731564,0.01962049,0.417052865,0.009947604,0.030125495
Kiwanis Park/Green Tree Park,N,NA,Manicured,0,0.189873418,0,0.810126582,0,0,0,0,0.363728986,0,0.468160978,0.168110036,0,0,0,0.321360336,0,0.117564641,0.561075022,0,0,0,0.259117694,0.092689919,0.029399586,0.598566651,0.015830546,0.004395604,0,0.270026187,0.130596645,0.016250265,0.561596716,0.015655744,0.005874443,0,0.329643904,0.113828195,0.010128679,0.529215505,0.011028475,0.006155243,0,0.341543338,0.130136986,0.013071795,0.490969504,0.008322122,0.015956254,0,0.326238675,0.15899278,0.009629813,0.463466166,0.009403313,0.032269253,0,0.32119641,0.193528592,0.010697273,0.421561999,0.009875606,0.04314012,0,0.316268208,0.213043314,0.012528095,0.40143656,0.009054152,0.047669671
Possum Creek Park ,Y,PC,Manicured,0,0,1,0,0,0,0,0,0.309766022,0.484231943,0,0.2034588,0,0.002543235,0,0.420201248,0.324544644,0,0.246083301,0,0.009170806,0,0.296493296,0.31713221,0.007580342,0.356658279,0.006178934,0.015956939,0,0.243499186,0.262849459,0.01971831,0.414438389,0.016179489,0.043315167,0,0.242755556,0.177513756,0.011092619,0.47601908,0.013632853,0.078986136,2.55E-05,0.221027418,0.191055958,0.007904393,0.479599429,0.010116196,0.090271124,0.001978306,0.216605029,0.241693062,0.006455152,0.443989878,0.010956771,0.078321802,0.007818655,0.224894889,0.263351127,0.007600242,0.416232225,0.013250371,0.066852491,0.025376002,0.216224556,0.282219678,0.007761907,0.39354203,0.012694968,0.062180859
Possum Creek Park,N,NA,Natural,0,0,1,0,0,0,0,0,0.194317605,0.709284627,0,0.080669711,0,0.015728057,0,0.29526356,0.44881589,0,0.244716068,0,0.011204482,0,0.300643189,0.287142584,0.008278673,0.379354264,0.009042858,0.015538432,0,0.253217244,0.244482197,0.019225596,0.42865435,0.016238409,0.038182204,0,0.244111792,0.172752608,0.011107572,0.479592324,0.012899116,0.079536587,0,0.223943418,0.184253437,0.008560684,0.481609816,0.01030849,0.091324154,0.001627938,0.228551914,0.229252635,0.007697317,0.443050473,0.01054267,0.079277054,0.004160123,0.230777631,0.259560483,0.007852232,0.417262951,0.012714376,0.067672203,0.020193173,0.221079809,0.282262495,0.007831225,0.393878347,0.012377874,0.062377077
Hogtown Creek Headwaters Nature Park ,Y,HT,Manicured,0,0.044303797,0.490506329,0,0.458860759,0,0.006329114,0,0.059033079,0.679389313,0,0.23562341,0.01221374,0.013740458,0,0.260731117,0.468984843,0,0.259457394,0.004075914,0.006750732,0,0.436304009,0.174897316,0,0.368548413,0.014136976,0.006113287,0,0.385908795,0.220015852,0.021711439,0.325827271,0.013035355,0.033501288,0,0.325922859,0.249490397,0.019993948,0.330405771,0.014937733,0.059249291,0,0.319159129,0.261312269,0.014243853,0.325198114,0.01166518,0.068421455,0,0.313270409,0.275391862,0.010029693,0.320037089,0.010811825,0.070459122,0,0.285597649,0.311037728,0.007920123,0.319126862,0.010897319,0.065420318,0,0.264315234,0.334089805,0.007449257,0.31606786,0.011428697,0.066649148
Hogtown Creek Headwaters Nature Park ,N,NA,Natural,0,0,0.936507937,0,0.063492063,0,0,0,0.034114053,0.880855397,0,0.07688391,0,0.00814664,0,0.353660089,0.487587524,0,0.145894335,0.004328453,0.008529599,0,0.461381661,0.192120266,0,0.320380928,0.016084339,0.010032806,0,0.371689433,0.257258122,0.02572015,0.29261802,0.0127256,0.039988676,0,0.319323448,0.27746102,0.020632595,0.306303652,0.013187023,0.063092261,0,0.308660976,0.286798318,0.014243853,0.307672315,0.011838451,0.070786087,0,0.303857901,0.297211595,0.009891599,0.307283685,0.010748046,0.071007174,0,0.276863351,0.330556249,0.007920411,0.302858213,0.010892515,0.070909261,0,0.258044479,0.352597347,0.007300404,0.300638462,0.01189924,0.069520069
